Bedroom,Bathroom,Property Size,Latitude,Longitude,Parking Lot,Facility_Barbeque area,Facility_Club house,Facility_Gymnasium,Facility_Jogging Track,Facility_Lift,Facility_Minimart,Facility_Multipurpose hall,Facility_Parking,Facility_Playground,Facility_Sauna,Facility_Security,Facility_Squash Court,Facility_Swimming Pool,Facility_Tennis Court,price
4,2,1000,3.1975774,101.7139655,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340000
3,2,980,2.1942647,102.2486651,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,250000
3,2,1000,2.9948437,101.7896595,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,230000
3,1,592,3.1505141,101.7600712,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,158000
1,1,467,3.0739429,101.5185278,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,305000
3,2,1100,5.3248811,100.285231,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,425000
3,2,780,3.0342324,101.6170345,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,230000
3,2,852,3.0342324,101.6170345,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,200000
3,2,918,3.0739429,101.5185278,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,275000
3,2,850,3.0739429,101.5185278,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0,300000
3,2,660,5.342892,100.2863328,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,265000
3,2,1246,5.3517141,100.3083211,2,1,0,1,1,1,0,0,1,1,1,1,0,1,0,790000
2,1,550,5.3207108,100.2681554,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,230000
3,2,1250,2.9948437,101.7896595,2,1,1,1,1,1,1,1,1,1,0,1,0,1,0,340000
3,2,1048,3.0342324,101.6170345,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,230000
3,2,1150,5.4647757,100.284463,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,430000
2,1,553,3.2058319,101.7319177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155000
3,2,901,5.2817072,100.4765976,2,1,0,1,1,1,0,1,1,0,0,1,0,1,0,500000
1,1,452,3.0739429,101.5185278,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,350000
2,2,1016,5.3873462,100.3145585,2,1,0,1,0,0,0,1,1,1,1,1,0,1,0,620000
4,2,900,3.1505141,101.7600712,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,310000
3,2,650,3.0991919,101.7374229,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,240000
3,2,1182,5.3207108,100.2681554,2,1,0,1,0,0,1,1,1,1,1,1,0,1,0,500000
3,2,872,2.9948437,101.7896595,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,341500
1,2,450,2.941765,101.8205497,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,230500
2,2,1005,1.4581986,103.7649059,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,515000
1,1,430,1.4581986,103.7649059,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,200000
3,2,1050,1.4581986,103.7649059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298000
3,2,986,1.4522711,103.6144729,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,418000
3,2,950,2.9948437,101.7896595,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,220000
3,2,1055,3.0342324,101.6170345,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,320000
3,2,1017,2.9040583,101.7862548,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,280000
4,3,1387,1.4581986,103.7649059,2,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1150000
3,2,720,2.255986,102.2915442,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,320000
4,4,1474,3.0894376,101.6846759,2,1,0,1,1,1,0,1,1,1,0,1,0,1,0,880000
2,1,788,1.5597561,110.345397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550000
2,1,517,3.073076,101.7626851,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,180000
